run,	wetted surf,	change w.r.t. 0 heel/0leeway, change w.r.t. calm water value
FS_21_126_0, 3244.837, 0.0, -8.726
FS_21_126_3, 3245.078, 0.241, -8.485
FS_21_126_4, 3245.332, 0.495, -8.231
FS_21_126_5, 3245.641, 0.804, -7.922
FS_21_126_6, 3245.946, 1.109, -7.617
FS_21_126_7, 3246.224, 1.387, -7.339
FS_21_126_9, 3246.612, 1.775, -6.951
FS_21_168_0, 3238.521, 0.0, -15.041
FS_21_168_3, 3239.305, 0.784, -14.258
FS_21_168_4, 3239.461, 0.939, -14.102
FS_21_168_5, 3239.776, 1.255, -13.786
FS_21_168_6, 3240.591, 2.07, -12.971
FS_21_168_7, 3240.847, 2.325, -12.716
FS_21_168_9, 3240.451, 1.93, -13.112
FS_21_210_0, 3231.265, 0.0, -22.297
FS_21_210_3, 3231.87, 0.605, -21.693
FS_21_210_4, 3232.573, 1.307, -20.99
FS_21_210_5, 3231.647, 0.381, -21.916
FS_21_210_6, 3234.377, 3.111, -19.186
FS_21_210_7, 3235.218, 3.952, -18.345
FS_21_210_9, 3234.644, 3.379, -18.919
FS_21_h10_168_3, 3244.954, 3244.454, -8.609
FS_21_h10_168_5, 3246.157, 3245.657, -7.406
FS_21_h20_168_7, 3275.319, 3274.819, 21.756
FS_22_126_0, 3236.298, 0.0, -5.995
FS_22_126_3, 3236.754, 0.456, -5.539
FS_22_126_4, 3237.049, 0.75, -5.245
FS_22_126_5, 3237.212, 0.914, -5.082
FS_22_126_6, 3237.359, 1.061, -4.934
FS_22_126_7, 3237.612, 1.314, -4.681
FS_22_126_9, 3238.212, 1.914, -4.082
FS_22_168_0, 3230.876, 0.0, -11.418
FS_22_168_3, 3232.899, 2.023, -9.395
FS_22_168_4, 3233.006, 2.13, -9.288
FS_22_168_5, 3233.657, 2.781, -8.637
FS_22_168_6, 3233.753, 2.877, -8.541
FS_22_168_7, 3234.385, 3.51, -7.908
FS_22_168_9, 3234.629, 3.753, -7.664
FS_22_210_0, 3225.324, 0.0, -16.969
FS_22_210_3, 3226.184, 0.86, -16.109
FS_22_210_4, 3227.529, 2.205, -14.764
FS_22_210_5, 3228.957, 3.632, -13.337
FS_22_210_6, 3229.051, 3.726, -13.243
FS_22_210_7, 3230.325, 5.001, -11.968
FS_22_210_9, 3231.447, 6.123, -10.846
FS_22_h10_168_3, 3235.78, 4.905, -6.513
FS_22_h10_168_5, 3237.023, 6.148, -5.27
FS_22_h20_168_5, 3253.666, 22.79, 11.372
FS_22_h20_168_7, 3254.64, 23.765, 12.347
FS_23_126_0, 2938.83, 0.0, -5.598
FS_23_126_3, 2939.369, 0.539, -5.059
FS_23_126_4, 2939.611, 0.781, -4.817
FS_23_126_5, 2939.76, 0.93, -4.668
FS_23_126_6, 2939.888, 1.058, -4.539
FS_23_126_7, 2939.87, 1.04, -4.558
FS_23_126_9, 2939.679, 0.849, -4.748
FS_23_168_0, 2934.399, 0.0, -10.028
FS_23_168_3, 2935.536, 1.137, -8.891
FS_23_168_4, 2935.282, 0.883, -9.146
FS_23_168_5, 2936.282, 1.883, -8.145
FS_23_168_6, 2936.771, 2.372, -7.656
FS_23_168_7, 2936.502, 2.103, -7.925
FS_23_168_9, 2936.798, 2.399, -7.629
FS_23_210_0, 2927.657, 0.0, -16.771
FS_23_210_3, 2926.0, -1.656, -18.427
FS_23_210_4, 2926.628, -1.029, -17.8
FS_23_210_5, 2927.873, 0.216, -16.555
FS_23_210_6, 2931.499, 3.843, -12.928
FS_23_210_7, 2931.865, 4.209, -12.562
FS_23_210_9, 2933.741, 6.084, -10.687
FS_23_h20_168_5, 2980.073, 45.673, 35.645
FS_23_h20_168_7, 2979.215, 44.815, 34.787
FS_24_126_0, 3727.316, 0.0, -3.687
FS_24_126_3, 3727.455, 0.139, -3.548
FS_24_126_4, 3727.783, 0.467, -3.22
FS_24_126_5, 3728.009, 0.693, -2.994
FS_24_126_6, 3728.364, 1.048, -2.639
FS_24_126_7, 3728.821, 1.505, -2.182
FS_24_126_9, 3729.734, 2.419, -1.268
FS_24_168_0, 3723.698, 0.0, -7.305
FS_24_168_3, 3724.545, 0.847, -6.458
FS_24_168_4, 3724.81, 1.112, -6.193
FS_24_168_5, 3725.766, 2.068, -5.237
FS_24_168_6, 3725.633, 1.935, -5.37
FS_24_168_7, 3726.861, 3.163, -4.142
FS_24_168_9, 3727.831, 4.133, -3.172
FS_24_210_0, 3722.433, 0.0, -8.57
FS_24_210_3, 3722.859, 0.427, -8.143
FS_24_210_4, 3721.357, -1.076, -9.646
FS_24_210_5, 3724.724, 2.292, -6.279
FS_24_210_6, 3721.358, -1.074, -9.645
FS_24_210_7, 3723.267, 0.834, -7.736
FS_24_210_9, 3722.619, 0.186, -8.384
FS_24_h10_168_3, 3733.182, 9.485, 2.18
FS_24_h10_168_5, 3733.443, 9.745, 2.44
FS_25_126_0, 3371.816, 0.0, -4.207
FS_25_126_3, 3372.317, 0.502, -3.706
FS_25_126_4, 3372.581, 0.765, -3.442
FS_25_126_5, 3372.691, 0.876, -3.332
FS_25_126_6, 3373.115, 1.299, -2.908
FS_25_126_7, 3373.384, 1.568, -2.639
FS_25_126_9, 3374.314, 2.499, -1.709
FS_25_168_0, 3368.48, 0.0, -7.543
FS_25_168_3, 3369.459, 0.98, -6.564
FS_25_168_4, 3369.376, 0.897, -6.647
FS_25_168_5, 3369.731, 1.252, -6.292
FS_25_168_6, 3371.486, 3.007, -4.537
FS_25_168_7, 3371.614, 3.135, -4.409
FS_25_168_9, 3372.712, 4.232, -3.311
FS_25_210_0, 3365.431, 0.0, -10.592
FS_25_210_3, 3366.646, 1.216, -9.377
FS_25_210_4, 3365.663, 0.232, -10.36
FS_25_210_5, 3368.203, 2.772, -7.82
FS_25_210_6, 3367.738, 2.307, -8.285
FS_25_210_7, 3368.475, 3.044, -7.548
FS_25_210_9, 3368.673, 3.242, -7.35
FS_25_h10_168_3, 3381.597, 13.117, 5.574
FS_25_h10_168_5, 3382.454, 13.975, 6.431
FS_26_126_0, 3361.418, 0.0, -3.079
FS_26_126_3, 3361.793, 0.375, -2.704
FS_26_126_4, 3362.241, 0.824, -2.255
FS_26_126_5, 3362.405, 0.988, -2.091
FS_26_126_6, 3362.444, 1.026, -2.052
FS_26_126_7, 3362.633, 1.215, -1.864
FS_26_126_9, 3363.439, 2.021, -1.058
FS_26_168_0, 3360.161, 0.0, -4.335
FS_26_168_3, 3361.297, 1.136, -3.199
FS_26_168_4, 3361.545, 1.384, -2.951
FS_26_168_5, 3361.817, 1.656, -2.68
FS_26_168_6, 3362.054, 1.893, -2.443
FS_26_168_7, 3362.211, 2.05, -2.286
FS_26_168_9, 3362.809, 2.648, -1.687
FS_26_210_0, 3352.827, 0.0, -11.67
FS_26_210_3, 3356.544, 3.717, -7.953
FS_26_210_4, 3357.238, 4.411, -7.258
FS_26_210_5, 3359.124, 6.297, -5.373
FS_26_210_6, 3359.845, 7.018, -4.652
FS_26_210_7, 3359.284, 6.458, -5.212
FS_26_210_9, 3360.298, 7.471, -4.199
FS_26_h10_168_3, 3362.459, 2.298, -2.037
FS_26_h10_168_5, 3363.396, 3.235, -1.101
FS_27_126_0, 3048.944, 0.0, -2.598
FS_27_126_3, 3049.24, 0.296, -2.302
FS_27_126_4, 3049.504, 0.56, -2.038
FS_27_126_5, 3049.676, 0.732, -1.866
FS_27_126_6, 3049.76, 0.817, -1.781
FS_27_126_7, 3049.552, 0.609, -1.989
FS_27_126_9, 3049.385, 0.441, -2.157
FS_27_168_0, 3045.969, 0.0, -5.573
FS_27_168_3, 3044.766, -1.203, -6.775
FS_27_168_4, 3045.677, -0.291, -5.864
FS_27_168_5, 3047.081, 1.112, -4.461
FS_27_168_6, 3046.382, 0.413, -5.16
FS_27_168_7, 3047.359, 1.39, -4.183
FS_27_168_9, 3049.128, 3.159, -2.414
FS_27_210_0, 3040.068, 0.0, -11.474
FS_27_210_3, 3042.127, 2.059, -9.414
FS_27_210_4, 3038.588, -1.48, -12.953
FS_27_210_5, 3039.733, -0.335, -11.809
FS_27_210_6, 3041.937, 1.869, -9.605
FS_27_210_7, 3043.088, 3.02, -8.453
FS_27_210_9, 3048.121, 8.053, -3.42
FS_27_h10_168_3, 3058.881, 12.913, 7.34
FS_27_h10_168_5, 3059.632, 13.663, 8.09
FS_28_126_0, 3198.826, 0.0, -4.583
FS_28_126_3, 3199.275, 0.449, -4.134
FS_28_126_4, 3199.484, 0.657, -3.926
FS_28_126_5, 3199.707, 0.881, -3.702
FS_28_126_6, 3199.907, 1.081, -3.502
FS_28_126_7, 3200.177, 1.351, -3.233
FS_28_126_9, 3200.69, 1.864, -2.719
FS_28_168_0, 3192.708, 0.0, -10.702
FS_28_168_3, 3195.004, 2.297, -8.405
FS_28_168_4, 3196.004, 3.297, -7.405
FS_28_168_5, 3196.69, 3.982, -6.719
FS_28_168_6, 3196.689, 3.981, -6.72
FS_28_168_7, 3197.023, 4.315, -6.387
FS_28_168_9, 3197.735, 5.028, -5.674
FS_28_210_0, 3189.949, 0.0, -13.461
FS_28_210_3, 3188.627, -1.322, -14.783
FS_28_210_4, 3191.138, 1.19, -12.271
FS_28_210_5, 3192.599, 2.65, -10.81
FS_28_210_6, 3193.837, 3.888, -9.573
FS_28_210_7, 3193.825, 3.877, -9.584
FS_28_210_9, 3195.291, 5.342, -8.119
FS_28_h10_168_3, 3203.72, 11.013, 0.311
FS_28_h20_168_5, 3240.319, 47.611, 36.909
FS_28_h20_168_7, 3241.681, 48.973, 38.272
FS_29_126_0, 3201.544, 0.0, -5.257
FS_29_126_3, 3201.792, 0.248, -5.009
FS_29_126_4, 3202.042, 0.498, -4.76
FS_29_126_5, 3202.463, 0.919, -4.338
FS_29_126_6, 3202.735, 1.191, -4.066
FS_29_126_7, 3203.005, 1.461, -3.796
FS_29_126_9, 3203.375, 1.831, -3.426
FS_29_168_0, 3196.773, 0.0, -10.028
FS_29_168_3, 3196.166, -0.607, -10.635
FS_29_168_4, 3197.296, 0.523, -9.505
FS_29_168_5, 3198.064, 1.291, -8.737
FS_29_168_6, 3198.133, 1.36, -8.668
FS_29_168_7, 3198.754, 1.981, -8.047
FS_29_168_9, 3199.476, 2.703, -7.325
FS_29_210_0, 3193.673, 0.0, -13.128
FS_29_210_3, 3193.556, -0.117, -13.245
FS_29_210_4, 3196.317, 2.644, -10.484
FS_29_210_5, 3195.753, 2.08, -11.048
FS_29_210_6, 3196.6, 2.927, -10.202
FS_29_210_7, 3197.725, 4.052, -9.076
FS_29_210_9, 3197.417, 3.744, -9.384
FS_29_h10_168_3, 3205.913, 9.141, -0.888
FS_29_h10_168_5, 3206.889, 10.116, 0.087
FS_29_h20_168_5, 3246.647, 49.874, 39.846
FS_29_h20_168_7, 3247.303, 50.53, 40.502
FS_30_126_0, 3117.795, 0.0, -4.727
FS_30_126_3, 3118.383, 0.588, -4.139
FS_30_126_4, 3118.617, 0.822, -3.905
FS_30_126_5, 3118.828, 1.033, -3.694
FS_30_126_6, 3118.998, 1.203, -3.524
FS_30_126_7, 3119.315, 1.52, -3.207
FS_30_126_9, 3119.846, 2.051, -2.676
FS_30_168_0, 3111.65, 0.0, -10.872
FS_30_168_3, 3114.122, 2.471, -8.4
FS_30_168_4, 3115.163, 3.513, -7.359
FS_30_168_5, 3115.677, 4.027, -6.845
FS_30_168_6, 3115.854, 4.204, -6.668
FS_30_168_7, 3116.01, 4.36, -6.512
FS_30_168_9, 3116.538, 4.888, -5.984
FS_30_210_0, 3108.302, 0.0, -14.22
FS_30_210_3, 3105.058, -3.243, -17.464
FS_30_210_4, 3108.639, 0.337, -13.884
FS_30_210_5, 3111.292, 2.99, -11.23
FS_30_210_6, 3111.57, 3.268, -10.952
FS_30_210_7, 3112.964, 4.662, -9.558
FS_30_210_9, 3114.127, 5.825, -8.396
FS_30_h10_168_3, 3123.135, 11.485, 0.613
FS_30_h10_168_5, 3124.334, 12.683, 1.812
FS_30_h20_168_5, 3164.218, 52.567, 41.696
FS_30_h20_168_7, 3164.395, 52.744, 41.872
FS_31_126_0, 3036.548, 0.0, -4.552
FS_31_126_3, 3037.366, 0.818, -3.733
FS_31_126_4, 3037.678, 1.13, -3.422
FS_31_126_5, 3037.806, 1.259, -3.293
FS_31_126_6, 3037.947, 1.399, -3.152
FS_31_126_7, 3038.054, 1.507, -3.045
FS_31_126_9, 3038.358, 1.811, -2.741
FS_31_168_0, 3031.083, 0.0, -10.016
FS_31_168_3, 3033.185, 2.102, -7.914
FS_31_168_4, 3033.825, 2.741, -7.275
FS_31_168_5, 3034.609, 3.526, -6.49
FS_31_168_6, 3035.366, 4.283, -5.734
FS_31_168_7, 3035.672, 4.589, -5.427
FS_31_168_9, 3036.081, 4.998, -5.018
FS_31_210_0, 3024.907, 0.0, -16.193
FS_31_210_3, 3026.378, 1.471, -14.721
FS_31_210_4, 3027.561, 2.654, -13.539
FS_31_210_5, 3028.341, 3.435, -12.758
FS_31_210_6, 3028.694, 3.787, -12.405
FS_31_210_7, 3029.431, 4.524, -11.669
FS_31_210_9, 3034.007, 9.101, -7.092
FS_31_h10_168_3, 3041.658, 10.574, 0.558
FS_31_h10_168_5, 3044.292, 13.209, 3.192
FS_31_h20_168_5, 3086.544, 55.46, 45.444
FS_31_h20_168_7, 3087.566, 56.482, 46.466
FS_32_126_0, 3276.318, 0.0, -4.592
FS_32_126_3, 3276.706, 0.388, -4.205
FS_32_126_4, 3277.028, 0.71, -3.882
FS_32_126_5, 3277.265, 0.947, -3.645
FS_32_126_6, 3277.516, 1.198, -3.394
FS_32_126_7, 3277.677, 1.359, -3.233
FS_32_126_9, 3278.326, 2.008, -2.584
FS_32_168_0, 3271.851, 0.0, -9.06
FS_32_168_3, 3272.887, 1.036, -8.024
FS_32_168_4, 3274.035, 2.184, -6.875
FS_32_168_5, 3274.617, 2.766, -6.294
FS_32_168_6, 3274.68, 2.829, -6.231
FS_32_168_7, 3274.802, 2.951, -6.108
FS_32_168_9, 3275.971, 4.12, -4.94
FS_32_210_0, 3266.218, 0.0, -14.692
FS_32_210_3, 3267.015, 0.797, -13.896
FS_32_210_4, 3268.73, 2.512, -12.18
FS_32_210_5, 3271.001, 4.783, -9.91
FS_32_210_6, 3272.177, 5.96, -8.733
FS_32_210_7, 3272.387, 6.169, -8.523
FS_32_210_9, 3273.614, 7.396, -7.296
FS_32_h10_168_3, 3280.748, 8.897, -0.162
FS_32_h10_168_5, 3282.08, 10.229, 1.17
FS_32_h20_168_5, 3313.826, 41.975, 32.916
FS_32_h20_168_7, 3315.894, 44.043, 34.984
FS_33_126_0, 3466.153, 0.0, -5.318
FS_33_126_3, 3466.522, 0.368, -4.95
FS_33_126_4, 3466.771, 0.618, -4.7
FS_33_126_5, 3466.953, 0.799, -4.519
FS_33_126_6, 3467.212, 1.059, -4.259
FS_33_126_7, 3467.502, 1.349, -3.969
FS_33_126_9, 3468.26, 2.106, -3.212
FS_33_168_0, 3460.965, 0.0, -10.507
FS_33_168_3, 3462.37, 1.405, -9.101
FS_33_168_4, 3462.754, 1.789, -8.718
FS_33_168_5, 3463.325, 2.36, -8.146
FS_33_168_6, 3463.854, 2.889, -7.617
FS_33_168_7, 3464.246, 3.281, -7.225
FS_33_168_9, 3464.937, 3.972, -6.534
FS_33_210_0, 3457.017, 0.0, -14.455
FS_33_210_3, 3457.585, 0.569, -13.886
FS_33_210_4, 3458.458, 1.442, -13.013
FS_33_210_5, 3459.804, 2.788, -11.667
FS_33_210_6, 3458.282, 1.265, -13.19
FS_33_210_7, 3460.249, 3.232, -11.223
FS_33_210_9, 3460.489, 3.473, -10.982
FS_33_h10_168_3, 3469.534, 8.569, -1.938
FS_33_h10_168_5, 3470.2, 9.236, -1.271
FS_33_h20_168_5, 3495.256, 34.291, 23.784
FS_33_h20_168_7, 3496.333, 35.368, 24.861
FS_34_126_0, 3121.299, 0.0, -2.309
FS_34_126_3, 3121.577, 0.278, -2.03
FS_34_126_4, 3121.804, 0.505, -1.803
FS_34_126_5, 3121.92, 0.621, -1.687
FS_34_126_6, 3122.22, 0.922, -1.387
FS_34_126_7, 3122.18, 0.881, -1.427
FS_34_126_9, 3122.615, 1.316, -0.993
FS_34_168_0, 3117.485, 0.0, -6.123
FS_34_168_3, 3117.032, -0.453, -6.575
FS_34_168_4, 3117.69, 0.206, -5.917
FS_34_168_5, 3118.107, 0.622, -5.501
FS_34_168_6, 3118.538, 1.053, -5.069
FS_34_168_7, 3119.097, 1.612, -4.511
FS_34_168_9, 3120.081, 2.596, -3.527
FS_34_210_0, 3115.049, 0.0, -8.559
FS_34_210_3, 3117.146, 2.097, -6.462
FS_34_210_4, 3117.85, 2.801, -5.757
FS_34_210_5, 3118.06, 3.011, -5.548
FS_34_210_6, 3118.647, 3.598, -4.961
FS_34_210_7, 3118.335, 3.287, -5.272
FS_34_210_9, 3120.82, 5.771, -2.787
FS_34_h10_126_5, 3130.594, 9.295, 6.987
FS_34_h10_168_0, 3125.582, 8.098, 1.975
FS_34_h10_168_3, 3125.728, 8.244, 2.121
FS_34_h10_168_4, 3126.263, 8.779, 2.656
FS_34_h10_168_5, 3127.105, 9.621, 3.498
FS_34_h10_168_6, 3127.847, 10.363, 4.24
FS_34_h10_168_7, 3128.337, 10.853, 4.73
FS_34_h10_210_5, 3126.608, 11.559, 3.001
FS_34_h20_126_5, 3165.812, 44.513, 42.204
FS_34_h20_168_0, 3159.227, 41.742, 35.62
FS_34_h20_168_3, 3161.483, 43.998, 37.876
FS_34_h20_168_4, 3162.252, 44.767, 38.644
FS_34_h20_168_5, 3162.832, 45.347, 39.224
FS_34_h20_168_9, 3165.575, 48.09, 41.967
FS_34_h20_210_5, 3161.808, 46.759, 38.2
FS_35_126_0, 3189.945, 0.0, -5.156
FS_35_126_3, 3190.336, 0.391, -4.765
FS_35_126_4, 3190.529, 0.584, -4.572
FS_35_126_5, 3190.805, 0.86, -4.296
FS_35_126_6, 3190.961, 1.016, -4.14
FS_35_126_7, 3191.31, 1.365, -3.791
FS_35_126_9, 3191.858, 1.914, -3.242
FS_35_168_0, 3184.168, 0.0, -10.933
FS_35_168_3, 3186.63, 2.462, -8.471
FS_35_168_4, 3186.854, 2.687, -8.246
FS_35_168_5, 3187.249, 3.081, -7.852
FS_35_168_6, 3187.613, 3.445, -7.488
FS_35_168_7, 3187.737, 3.57, -7.363
FS_35_168_9, 3188.696, 4.529, -6.404
FS_35_210_0, 3183.212, 0.0, -11.889
FS_35_210_3, 3183.299, 0.087, -11.802
FS_35_210_4, 3185.101, 1.889, -10.0
FS_35_210_5, 3185.691, 2.479, -9.41
FS_35_210_6, 3186.004, 2.792, -9.096
FS_35_210_7, 3185.772, 2.56, -9.329
FS_35_210_9, 3188.553, 5.341, -6.548
FS_35_h10_168_3, 3193.914, 9.746, -1.187
FS_35_h10_168_5, 3194.688, 10.52, -0.413
FS_35_h20_168_5, 3228.49, 44.322, 33.389
FS_35_h20_168_7, 3229.698, 45.531, 34.597
FS_36_126_0, 3016.966, 0.0, -4.912
FS_36_126_3, 3017.297, 0.332, -4.581
FS_36_126_4, 3017.629, 0.663, -4.249
FS_36_126_5, 3017.673, 0.708, -4.205
FS_36_126_6, 3017.707, 0.742, -4.171
FS_36_126_7, 3017.928, 0.963, -3.95
FS_36_126_9, 3018.565, 1.599, -3.313
FS_36_168_0, 3011.571, 0.0, -10.307
FS_36_168_3, 3013.842, 2.27, -8.036
FS_36_168_4, 3013.992, 2.42, -7.886
FS_36_168_5, 3013.692, 2.121, -8.186
FS_36_168_6, 3013.881, 2.309, -7.997
FS_36_168_7, 3014.603, 3.032, -7.275
FS_36_168_9, 3015.034, 3.462, -6.844
FS_36_210_0, 3009.502, 0.0, -12.376
FS_36_210_3, 3011.379, 1.876, -10.499
FS_36_210_4, 3012.627, 3.125, -9.251
FS_36_210_5, 3012.156, 2.654, -9.722
FS_36_210_6, 3011.278, 1.775, -10.6
FS_36_210_7, 3012.327, 2.824, -9.551
FS_36_210_9, 3014.202, 4.7, -7.676
FS_36_h10_168_3, 3021.323, 9.752, -0.555
FS_36_h10_168_5, 3021.599, 10.028, -0.279
FS_36_h20_168_5, 3063.196, 51.624, 41.318
FS_36_h20_168_7, 3064.796, 53.225, 42.918
FS_37_126_0, 3351.945, 0.0, -6.218
FS_37_126_3, 3352.256, 0.311, -5.906
FS_37_126_4, 3352.457, 0.513, -5.705
FS_37_126_5, 3352.72, 0.776, -5.442
FS_37_126_6, 3352.927, 0.982, -5.236
FS_37_126_7, 3353.104, 1.159, -5.058
FS_37_126_9, 3353.713, 1.768, -4.45
FS_37_168_0, 3346.556, 0.0, -11.607
FS_37_168_3, 3347.982, 1.426, -10.18
FS_37_168_4, 3348.462, 1.905, -9.701
FS_37_168_5, 3348.936, 2.38, -9.227
FS_37_168_6, 3349.334, 2.778, -8.828
FS_37_168_7, 3349.268, 2.712, -8.895
FS_37_168_9, 3350.122, 3.566, -8.041
FS_37_210_0, 3340.805, 0.0, -17.358
FS_37_210_3, 3344.227, 3.423, -13.935
FS_37_210_4, 3346.136, 5.331, -12.027
FS_37_210_5, 3347.3, 6.495, -10.863
FS_37_210_6, 3345.695, 4.891, -12.467
FS_37_210_7, 3346.688, 5.884, -11.474
FS_37_210_9, 3347.378, 6.574, -10.784
FS_37_h10_168_3, 3356.06, 9.504, -2.102
FS_37_h10_168_5, 3356.287, 9.731, -1.875
FS_37_h20_168_5, 3386.991, 40.435, 28.828
FS_38_126_0, 3378.898, 0.0, -7.173
FS_38_126_3, 3379.271, 0.374, -6.799
FS_38_126_4, 3379.46, 0.563, -6.61
FS_38_126_5, 3379.692, 0.795, -6.378
FS_38_126_6, 3379.87, 0.973, -6.2
FS_38_126_7, 3380.109, 1.211, -5.962
FS_38_126_9, 3380.522, 1.625, -5.548
FS_38_168_0, 3372.717, 0.0, -13.353
FS_38_168_3, 3374.313, 1.595, -11.758
FS_38_168_4, 3374.887, 2.169, -11.184
FS_38_168_5, 3375.359, 2.642, -10.712
FS_38_168_6, 3375.535, 2.817, -10.536
FS_38_168_7, 3375.987, 3.27, -10.084
FS_38_168_9, 3376.612, 3.894, -9.459
FS_38_210_0, 3368.157, 0.0, -17.914
FS_38_210_3, 3370.321, 2.164, -15.75
FS_38_210_4, 3370.389, 2.232, -15.682
FS_38_210_5, 3372.406, 4.249, -13.665
FS_38_210_6, 3371.949, 3.792, -14.122
FS_38_210_7, 3371.608, 3.451, -14.463
FS_38_210_9, 3371.892, 3.735, -14.178
FS_38_h10_168_3, 3381.797, 9.08, -4.273
FS_38_h10_168_5, 3382.728, 10.011, -3.343
FS_38_h20_168_5, 3417.745, 45.028, 31.675
FS_38_h20_168_7, 3418.872, 46.155, 32.802
FS_39_126_0, 3441.287, 0.0, -7.656
FS_39_126_3, 3441.5, 0.213, -7.443
FS_39_126_4, 3441.578, 0.291, -7.366
FS_39_126_5, 3441.751, 0.464, -7.192
FS_39_126_6, 3441.872, 0.585, -7.072
FS_39_126_7, 3442.031, 0.744, -6.912
FS_39_126_9, 3442.29, 1.003, -6.653
FS_39_168_0, 3435.098, 0.0, -13.846
FS_39_168_3, 3436.061, 0.963, -12.882
FS_39_168_4, 3436.613, 1.515, -12.33
FS_39_168_5, 3436.822, 1.724, -12.121
FS_39_168_6, 3437.018, 1.92, -11.925
FS_39_168_7, 3437.182, 2.084, -11.761
FS_39_168_9, 3437.209, 2.111, -11.735
FS_39_210_0, 3430.06, 0.0, -18.883
FS_39_210_3, 3430.658, 0.597, -18.286
FS_39_210_4, 3429.761, -0.3, -19.183
FS_39_210_5, 3431.316, 1.256, -17.627
FS_39_210_6, 3433.593, 3.533, -15.35
FS_39_210_7, 3432.063, 2.002, -16.881
FS_39_210_9, 3431.008, 0.948, -17.935
FS_39_h10_168_3, 3434.048, -1.05, -14.896
FS_39_h10_168_5, 3434.673, -0.425, -14.27
FS_39_h20_168_5, 3469.274, 34.176, 20.33
FS_39_h20_168_7, 3470.265, 35.167, 21.322
FS_40_126_0, 3560.858, 0.0, -6.272
FS_40_126_3, 3560.872, 0.015, -6.258
FS_40_126_4, 3560.944, 0.087, -6.185
FS_40_126_5, 3561.07, 0.213, -6.059
FS_40_126_6, 3561.332, 0.475, -5.798
FS_40_126_7, 3561.517, 0.659, -5.613
FS_40_126_9, 3562.127, 1.269, -5.003
FS_40_168_0, 3555.453, 0.0, -11.676
FS_40_168_3, 3556.364, 0.91, -10.766
FS_40_168_4, 3556.493, 1.039, -10.637
FS_40_168_5, 3556.787, 1.333, -10.343
FS_40_168_6, 3556.992, 1.539, -10.138
FS_40_168_7, 3557.231, 1.778, -9.899
FS_40_168_9, 3558.246, 2.793, -8.884
FS_40_210_0, 3548.554, 0.0, -18.576
FS_40_210_3, 3551.464, 2.91, -15.666
FS_40_210_4, 3550.468, 1.914, -16.662
FS_40_210_5, 3552.746, 4.192, -14.384
FS_40_210_6, 3552.654, 4.1, -14.476
FS_40_210_7, 3553.408, 4.854, -13.722
FS_40_210_9, 3555.412, 6.859, -11.717
FS_40_h10_168_3, 3561.685, 6.232, -5.444
FS_40_h10_168_5, 3562.573, 7.12, -4.557
FS_41_126_0, 3204.6, 0.0, -6.306
FS_41_126_3, 3205.038, 0.438, -5.867
FS_41_126_4, 3205.239, 0.639, -5.667
FS_41_126_5, 3205.419, 0.819, -5.487
FS_41_126_6, 3205.563, 0.963, -5.342
FS_41_126_7, 3205.864, 1.264, -5.042
FS_41_126_9, 3206.343, 1.743, -4.563
FS_41_168_0, 3199.494, 0.0, -11.412
FS_41_168_3, 3200.908, 1.414, -9.998
FS_41_168_4, 3201.255, 1.761, -9.651
FS_41_168_5, 3201.223, 1.729, -9.683
FS_41_168_6, 3201.368, 1.874, -9.538
FS_41_168_7, 3201.516, 2.022, -9.39
FS_41_168_9, 3202.198, 2.705, -8.707
FS_41_210_0, 3196.5, 0.0, -14.406
FS_41_210_3, 3197.114, 0.614, -13.792
FS_41_210_4, 3197.921, 1.421, -12.985
FS_41_210_5, 3197.898, 1.398, -13.008
FS_41_210_6, 3197.896, 1.396, -13.01
FS_41_210_7, 3197.253, 0.753, -13.653
FS_41_210_9, 3199.55, 3.05, -11.356
FS_41_h10_168_3, 3209.096, 9.602, -1.81
FS_41_h10_168_5, 3210.83, 11.336, -0.076
FS_41_h20_168_5, 3247.649, 48.156, 36.744
FS_41_h20_168_7, 3250.154, 50.66, 39.248
FS_42_126_0, 3285.808, 0.0, -5.925
FS_42_126_3, 3286.283, 0.475, -5.45
FS_42_126_4, 3286.514, 0.706, -5.219
FS_42_126_5, 3286.728, 0.92, -5.006
FS_42_126_6, 3286.964, 1.156, -4.769
FS_42_126_7, 3287.311, 1.503, -4.422
FS_42_126_9, 3288.043, 2.235, -3.69
FS_42_168_0, 3280.325, 0.0, -11.409
FS_42_168_3, 3282.167, 1.842, -9.566
FS_42_168_4, 3282.837, 2.512, -8.896
FS_42_168_5, 3283.043, 2.718, -8.691
FS_42_168_6, 3283.577, 3.253, -8.156
FS_42_168_7, 3283.804, 3.48, -7.929
FS_42_168_9, 3285.157, 4.833, -6.576
FS_42_210_0, 3277.871, 0.0, -13.862
FS_42_210_3, 3279.275, 1.404, -12.459
FS_42_210_4, 3279.225, 1.354, -12.508
FS_42_210_5, 3280.243, 2.372, -11.49
FS_42_210_6, 3279.948, 2.077, -11.785
FS_42_210_7, 3280.437, 2.566, -11.296
FS_42_210_9, 3282.118, 4.247, -9.615
FS_42_h10_168_3, 3288.861, 8.536, -2.872
FS_42_h10_168_5, 3289.99, 9.666, -1.743
FS_42_h20_168_5, 3321.693, 41.369, 29.96
FS_43_126_0, 3264.044, 0.0, -6.4
FS_43_126_3, 3264.49, 0.447, -5.954
FS_43_126_4, 3264.717, 0.673, -5.727
