run,	wetted surf,	change w.r.t. 0 heel/0leeway, change w.r.t. calm water value
FS_4_168_3, 3462.315, 1.722, -11.152
FS_4_168_4, 3462.989, 2.397, -10.478
FS_4_168_5, 3462.703, 2.111, -10.763
FS_4_168_6, 3463.554, 2.962, -9.912
FS_4_168_7, 3463.76, 3.168, -9.706
FS_4_168_9, 3465.342, 4.75, -8.124
FS_4_210_0, 3455.014, 0.0, -18.453
FS_4_210_3, 3455.136, 0.122, -18.331
FS_4_210_4, 3455.855, 0.841, -17.611
FS_4_210_5, 3455.678, 0.664, -17.789
FS_4_210_6, 3457.504, 2.49, -15.962
FS_4_210_7, 3457.987, 2.973, -15.48
FS_4_210_9, 3457.207, 2.193, -16.259
FS_4_h10_168_3, 3468.759, 8.167, -4.708
FS_4_h10_168_5, 3469.686, 9.094, -3.78
FS_4_h20_168_3, 3494.986, 34.394, 21.52
FS_4_h20_168_5, 3495.299, 34.707, 21.833
FS_4_h20_168_7, 3496.076, 35.484, 22.61
FS_5_126_0, 3140.246, 0.0, -5.158
FS_5_126_3, 3140.873, 0.627, -4.531
FS_5_126_4, 3141.2, 0.955, -4.203
FS_5_126_5, 3141.476, 1.231, -3.927
FS_5_126_6, 3141.689, 1.443, -3.715
FS_5_126_7, 3141.952, 1.706, -3.452
FS_5_126_9, 3142.507, 2.262, -2.896
FS_5_168_0, 3135.162, 0.0, -10.241
FS_5_168_3, 3137.624, 2.462, -7.78
FS_5_168_4, 3138.461, 3.299, -6.942
FS_5_168_5, 3138.78, 3.618, -6.623
FS_5_168_6, 3138.899, 3.736, -6.505
FS_5_168_7, 3139.239, 4.077, -6.165
FS_5_168_9, 3140.176, 5.014, -5.228
FS_5_210_0, 3125.649, 0.0, -19.755
FS_5_210_3, 3129.913, 4.264, -15.491
FS_5_210_4, 3132.633, 6.984, -12.771
FS_5_210_5, 3132.867, 7.219, -12.537
FS_5_210_6, 3134.094, 8.445, -11.31
FS_5_210_7, 3133.965, 8.317, -11.438
FS_5_210_9, 3137.847, 12.198, -7.557
FS_5_h10_168_0, 3141.691, 6.529, -3.713
FS_5_h10_168_3, 3142.749, 7.586, -2.655
FS_5_h10_168_4, 3143.495, 8.333, -1.908
FS_5_h10_168_5, 3143.63, 8.468, -1.773
FS_5_h10_168_6, 3144.103, 8.941, -1.3
FS_5_h10_168_7, 3144.547, 9.384, -0.857
FS_5_h10_168_9, 3147.149, 11.986, 1.745
FS_5_h20_168_0, 3167.942, 32.779, 22.538
FS_5_h20_168_3, 3169.965, 34.802, 24.561
FS_5_h20_168_5, 3170.174, 35.012, 24.771
FS_5_h20_168_6, 3170.618, 35.456, 25.215
FS_5_h20_168_7, 3171.753, 36.59, 26.349
FS_5_h20_168_9, 3175.78, 40.618, 30.376
FS_6_126_0, 3452.302, 0.0, -4.919
FS_6_126_3, 3452.525, 0.222, -4.697
FS_6_126_4, 3452.824, 0.521, -4.398
FS_6_126_5, 3453.093, 0.791, -4.129
FS_6_126_6, 3453.233, 0.931, -3.988
FS_6_126_7, 3453.362, 1.06, -3.86
FS_6_126_9, 3453.945, 1.642, -3.277
FS_6_168_0, 3447.411, 0.0, -9.811
FS_6_168_3, 3448.179, 0.768, -9.043
FS_6_168_4, 3449.13, 1.719, -8.092
FS_6_168_5, 3448.884, 1.473, -8.338
FS_6_168_6, 3449.555, 2.144, -7.667
FS_6_168_7, 3450.212, 2.801, -7.01
FS_6_168_9, 3450.154, 2.743, -7.068
FS_6_210_0, 3441.189, 0.0, -16.032
FS_6_210_3, 3445.983, 4.794, -11.239
FS_6_210_4, 3447.083, 5.894, -10.139
FS_6_210_5, 3447.226, 6.037, -9.996
FS_6_210_6, 3447.456, 6.266, -9.766
FS_6_210_7, 3446.416, 5.226, -10.806
FS_6_210_9, 3448.922, 7.733, -8.3
FS_6_h10_168_3, 3454.933, 3454.433, -2.289
FS_6_h10_168_5, 3456.493, 3455.993, -0.729
FS_6_h20_168_3, 3482.995, 3482.495, 25.774
FS_6_h20_168_5, 3483.793, 3483.293, 26.571
FS_6_h20_168_7, 3485.576, 3485.076, 28.354
FS_7_126_0, 3131.337, 0.0, -5.765
FS_7_126_3, 3131.714, 0.376, -5.389
FS_7_126_4, 3132.095, 0.757, -5.008
FS_7_126_5, 3132.343, 1.005, -4.76
FS_7_126_6, 3132.58, 1.242, -4.523
FS_7_126_7, 3132.713, 1.376, -4.39
FS_7_126_9, 3133.053, 1.716, -4.05
FS_7_168_0, 3125.616, 0.0, -11.486
FS_7_168_3, 3126.82, 1.203, -10.283
FS_7_168_4, 3127.488, 1.871, -9.615
FS_7_168_5, 3127.333, 1.717, -9.77
FS_7_168_6, 3128.137, 2.52, -8.966
FS_7_168_7, 3128.829, 3.213, -8.273
FS_7_168_9, 3128.998, 3.381, -8.105
FS_7_210_0, 3120.967, 0.0, -16.136
FS_7_210_3, 3125.831, 4.864, -11.272
FS_7_210_4, 3126.315, 5.348, -10.788
FS_7_210_5, 3126.207, 5.24, -10.896
FS_7_210_6, 3126.839, 5.872, -10.264
FS_7_210_7, 3126.307, 5.341, -10.795
FS_7_210_9, 3127.297, 6.33, -9.806
FS_7_h10_168_3, 3137.533, 11.917, 0.43
FS_7_h10_168_5, 3138.378, 12.762, 1.275
FS_7_h20_168_3, 3179.471, 53.855, 42.368
FS_7_h20_168_5, 3180.766, 55.15, 43.663
FS_7_h20_168_7, 3181.439, 55.823, 44.336
FS_8_126_0, 3428.817, 0.0, -8.867
FS_8_126_3, 3429.095, 0.278, -8.589
FS_8_126_4, 3429.37, 0.553, -8.314
FS_8_126_5, 3429.652, 0.835, -8.032
FS_8_126_6, 3430.013, 1.195, -7.672
FS_8_126_7, 3430.228, 1.411, -7.457
FS_8_126_9, 3430.632, 1.814, -7.053
FS_8_168_0, 3422.025, 0.0, -15.66
FS_8_168_3, 3422.442, 0.417, -15.242
FS_8_168_4, 3422.916, 0.892, -14.768
FS_8_168_5, 3423.542, 1.517, -14.143
FS_8_168_6, 3424.23, 2.206, -13.454
FS_8_168_7, 3424.636, 2.611, -13.048
FS_8_168_9, 3425.184, 3.159, -12.501
FS_8_210_0, 3413.183, 0.0, -24.501
FS_8_210_3, 3416.419, 3.235, -21.266
FS_8_210_4, 3414.012, 0.829, -23.672
FS_8_210_5, 3412.994, -0.189, -24.69
FS_8_210_6, 3415.461, 2.277, -22.224
FS_8_210_7, 3417.068, 3.884, -20.617
FS_8_210_9, 3416.926, 3.743, -20.758
FS_8_h10_168_3, 3426.786, 4.761, -10.899
FS_8_h10_168_5, 3427.795, 5.77, -9.89
FS_8_h20_168_3, 3445.838, 23.813, 8.153
FS_8_h20_168_5, 3447.297, 25.272, 9.613
FS_8_h20_168_7, 3449.064, 27.039, 11.38
FS_9_126_0, 3101.925, 0.0, -5.942
FS_9_126_3, 3102.357, 0.431, -5.51
FS_9_126_4, 3102.539, 0.614, -5.328
FS_9_126_5, 3102.693, 0.768, -5.174
FS_9_126_6, 3102.812, 0.887, -5.055
FS_9_126_7, 3103.079, 1.154, -4.788
FS_9_126_9, 3103.349, 1.424, -4.518
FS_9_168_0, 3096.944, 0.0, -10.923
FS_9_168_3, 3098.367, 1.423, -9.5
FS_9_168_4, 3098.704, 1.76, -9.163
FS_9_168_5, 3099.579, 2.636, -8.288
FS_9_168_6, 3099.898, 2.954, -7.969
FS_9_168_7, 3099.837, 2.893, -8.03
FS_9_168_9, 3100.175, 3.231, -7.692
FS_9_210_0, 3089.389, 0.0, -18.478
FS_9_210_3, 3089.621, 0.232, -18.246
FS_9_210_4, 3090.378, 0.989, -17.489
FS_9_210_5, 3093.781, 4.392, -14.086
FS_9_210_6, 3094.41, 5.021, -13.457
FS_9_210_7, 3096.102, 6.713, -11.765
FS_9_210_9, 3095.859, 6.47, -12.008
FS_9_h10_168_3, 3103.146, 6.202, -4.721
FS_9_h10_168_5, 3104.267, 7.323, -3.6
FS_9_h20_168_3, 3125.318, 28.374, 17.451
FS_9_h20_168_5, 3125.922, 28.978, 18.055
FS_9_h20_168_7, 3125.926, 28.982, 18.059
FS_10_126_0, 3554.579, 0.0, -4.203
FS_10_126_3, 3555.051, 0.472, -3.731
FS_10_126_4, 3555.08, 0.501, -3.703
FS_10_126_5, 3555.558, 0.979, -3.224
FS_10_126_6, 3555.848, 1.269, -2.934
FS_10_126_7, 3556.112, 1.533, -2.67
FS_10_126_9, 3557.092, 2.513, -1.69
FS_10_168_0, 3551.835, 0.0, -6.947
FS_10_168_3, 3552.537, 0.702, -6.245
FS_10_168_4, 3551.762, -0.073, -7.02
FS_10_168_5, 3553.011, 1.175, -5.772
FS_10_168_6, 3553.439, 1.604, -5.344
FS_10_168_7, 3553.893, 2.058, -4.889
FS_10_168_9, 3554.466, 2.631, -4.317
FS_10_210_0, 3547.112, 0.0, -11.67
FS_10_210_3, 3550.673, 3.561, -8.11
FS_10_210_5, 3549.018, 1.906, -9.764
FS_10_210_6, 3549.29, 2.177, -9.493
FS_10_210_7, 3550.608, 3.496, -8.174
FS_10_210_9, 3550.606, 3.494, -8.176
FS_10_h10_168_3, 3560.723, 8.888, 1.941
FS_10_h10_168_5, 3562.874, 11.039, 4.092
FS_11_126_0, 3225.623, 0.0, -3.15
FS_11_126_3, 3226.318, 0.695, -2.455
FS_11_126_4, 3226.666, 1.043, -2.107
FS_11_126_5, 3226.86, 1.237, -1.913
FS_11_126_6, 3226.874, 1.251, -1.899
FS_11_126_7, 3227.075, 1.453, -1.697
FS_11_126_9, 3227.741, 2.118, -1.032
FS_11_168_0, 3222.988, 0.0, -5.785
FS_11_168_3, 3225.24, 2.252, -3.533
FS_11_168_4, 3225.303, 2.315, -3.47
FS_11_168_5, 3225.717, 2.73, -3.056
FS_11_168_6, 3225.726, 2.738, -3.047
FS_11_168_7, 3225.886, 2.898, -2.887
FS_11_168_9, 3226.643, 3.656, -2.13
FS_11_210_0, 3215.934, 0.0, -12.839
FS_11_210_3, 3217.215, 1.281, -11.557
FS_11_210_4, 3218.437, 2.502, -10.336
FS_11_210_5, 3219.371, 3.436, -9.402
FS_11_210_6, 3221.528, 5.594, -7.245
FS_11_210_7, 3222.396, 6.462, -6.376
FS_11_210_9, 3225.669, 9.735, -3.104
FS_12_126_0, 3417.158, 0.0, -6.335
FS_12_126_3, 3417.434, 0.276, -6.059
FS_12_126_4, 3417.584, 0.425, -5.91
FS_12_126_5, 3417.743, 0.585, -5.75
FS_12_126_6, 3417.967, 0.809, -5.526
FS_12_126_7, 3418.22, 1.062, -5.273
FS_12_126_9, 3418.792, 1.634, -4.701
FS_12_168_3, 3412.878, 1.874, -10.616
FS_12_168_4, 3412.984, 1.98, -10.509
FS_12_168_5, 3413.448, 2.443, -10.046
FS_12_168_6, 3413.735, 2.731, -9.758
FS_12_168_7, 3414.151, 3.146, -9.343
FS_12_168_9, 3414.925, 3.92, -8.569
FS_12_210_0, 3404.222, 0.0, -19.272
FS_12_210_3, 3408.014, 3.792, -15.479
FS_12_210_4, 3408.521, 4.299, -14.973
FS_12_210_5, 3409.501, 5.279, -13.993
FS_12_210_6, 3409.053, 4.831, -14.441
FS_12_210_7, 3409.62, 5.398, -13.873
FS_12_210_9, 3412.386, 8.164, -11.108
FS_12_h10_168_3, 3417.319, 6.314, -6.175
FS_12_h10_168_5, 3418.136, 7.132, -5.357
FS_12_h20_168_3, 3437.27, 26.266, 13.777
FS_12_h20_168_5, 3438.673, 27.669, 15.18
FS_12_h20_168_7, 3439.779, 28.775, 16.286
FS_13_126_0, 3097.172, 0.0, -6.8
FS_13_126_3, 3097.593, 0.422, -6.378
FS_13_126_4, 3097.753, 0.581, -6.219
FS_13_126_5, 3097.966, 0.794, -6.006
FS_13_126_6, 3098.152, 0.98, -5.82
FS_13_126_7, 3098.398, 1.226, -5.574
FS_13_126_9, 3098.749, 1.577, -5.223
FS_13_168_0, 3091.305, 0.0, -12.667
FS_13_168_3, 3092.327, 1.022, -11.645
FS_13_168_4, 3093.098, 1.794, -10.873
FS_13_168_5, 3093.402, 2.098, -10.57
FS_13_168_6, 3093.699, 2.394, -10.273
FS_13_168_7, 3094.137, 2.832, -9.835
FS_13_168_9, 3094.275, 2.971, -9.696
FS_13_210_0, 3086.726, 0.0, -17.246
FS_13_210_3, 3089.6, 2.874, -14.372
FS_13_210_4, 3089.68, 2.955, -14.291
FS_13_210_5, 3090.526, 3.8, -13.446
FS_13_210_6, 3090.121, 3.396, -13.85
FS_13_210_7, 3091.703, 4.977, -12.269
FS_13_210_9, 3090.515, 3.789, -13.457
FS_13_h10_168_3, 3099.925, 8.62, -4.047
FS_13_h10_168_5, 3100.443, 9.139, -3.528
FS_13_h20_168_3, 3130.503, 39.199, 26.532
FS_13_h20_168_7, 3132.737, 41.432, 28.765
FS_14_126_0, 3534.433, 0.0, -2.655
FS_14_126_3, 3534.793, 0.36, -2.295
FS_14_126_4, 3535.013, 0.58, -2.075
FS_14_126_4, 3535.013, 3535.013, -2.075
FS_14_126_5, 3535.268, 3535.268, -1.821
FS_14_126_6, 3535.508, 3535.508, -1.58
FS_14_126_7, 3535.735, 3535.735, -1.353
FS_14_126_9, 3536.542, 3536.542, -0.547
FS_14_168_0, 3531.717, 0.0, -5.371
FS_14_168_3, 3532.822, 1.105, -4.266
FS_14_168_4, 3533.196, 1.479, -3.892
FS_14_168_5, 3533.543, 1.826, -3.546
FS_14_168_6, 3533.878, 2.161, -3.21
FS_14_168_7, 3535.004, 3.287, -2.084
FS_14_168_9, 3536.169, 4.452, -0.919
FS_14_210_0, 3529.254, 0.0, -7.834
FS_14_210_3, 3532.973, 3.719, -4.115
FS_14_210_4, 3532.982, 3.728, -4.106
FS_14_210_5, 3533.786, 4.532, -3.302
FS_14_210_6, 3533.312, 4.058, -3.776
FS_14_210_7, 3533.888, 4.634, -3.2
FS_14_210_9, 3534.229, 4.975, -2.859
FS_14_h10_168_3, 3543.192, 11.475, 6.104
FS_14_h10_168_5, 3543.979, 12.262, 6.891
FS_15_126_0, 3214.999, 0.0, -3.143
FS_15_126_3, 3215.456, 0.457, -2.685
FS_15_126_4, 3215.93, 0.931, -2.211
FS_15_126_5, 3216.068, 1.069, -2.073
FS_15_126_6, 3216.217, 1.218, -1.925
FS_15_126_7, 3216.408, 1.41, -1.733
FS_15_126_9, 3217.103, 2.104, -1.039
FS_15_168_0, 3212.339, 0.0, -5.803
FS_15_168_3, 3213.296, 0.958, -4.845
FS_15_168_4, 3213.627, 1.288, -4.515
FS_15_168_5, 3214.159, 1.82, -3.982
FS_15_168_6, 3214.094, 1.755, -4.047
FS_15_168_7, 3215.145, 2.806, -2.997
FS_15_168_9, 3215.616, 3.277, -2.525
FS_15_210_0, 3209.992, 0.0, -8.149
FS_15_210_3, 3213.672, 3.68, -4.47
FS_15_210_4, 3213.935, 3.943, -4.206
FS_15_210_5, 3213.855, 3.862, -4.287
FS_15_210_6, 3213.3, 3.308, -4.841
FS_15_210_7, 3214.767, 4.774, -3.375
FS_15_210_9, 3214.23, 4.238, -3.911
FS_15_h10_168_3, 3225.853, 13.514, 7.711
FS_15_h10_168_5, 3227.225, 14.887, 9.084
FS_16_126_0, 3641.273, 0.0, -5.979
FS_16_126_3, 3641.113, -0.16, -6.139
FS_16_126_4, 3641.26, -0.014, -5.992
FS_16_126_5, 3641.581, 0.308, -5.671
FS_16_126_6, 3641.85, 0.577, -5.402
FS_16_126_7, 3642.09, 0.816, -5.162
FS_16_126_9, 3642.705, 1.431, -4.547
FS_16_168_0, 3635.513, 0.0, -11.739
FS_16_168_3, 3636.04, 0.527, -11.212
FS_16_168_4, 3635.578, 0.065, -11.673
FS_16_168_5, 3636.852, 1.339, -10.4
FS_16_168_6, 3637.018, 1.505, -10.234
FS_16_168_7, 3638.076, 2.563, -9.176
FS_16_168_9, 3637.921, 2.408, -9.331
FS_16_210_0, 3628.953, 0.0, -18.299
FS_16_210_3, 3630.437, 1.483, -16.815
FS_16_210_4, 3631.133, 2.179, -16.119
FS_16_210_5, 3630.161, 1.208, -17.091
FS_16_210_6, 3630.397, 1.443, -16.855
FS_16_210_7, 3631.819, 2.866, -15.433
FS_16_210_9, 3634.457, 5.504, -12.795
FS_16_h10_168_5, 3642.557, 7.044, -4.695
FS_16_h20_168_3, 3662.815, 27.302, 15.563
FS_16_h20_168_5, 3662.687, 27.174, 15.435
FS_16_h20_168_7, 3664.358, 28.845, 17.107
FS_17_126_0, 3282.388, 0.0, -7.369
FS_17_126_3, 3282.761, 0.373, -6.995
FS_17_126_4, 3283.07, 0.682, -6.687
FS_17_126_5, 3283.333, 0.945, -6.424
FS_17_126_6, 3283.636, 1.248, -6.121
FS_17_126_7, 3283.914, 1.525, -5.843
FS_17_126_9, 3284.925, 2.536, -4.832
FS_17_168_0, 3276.7, 0.0, -13.057
FS_17_168_3, 3278.679, 1.979, -11.078
FS_17_168_4, 3278.263, 1.563, -11.494
FS_17_168_5, 3279.299, 2.598, -10.458
FS_17_168_6, 3279.5, 2.8, -10.257
FS_17_168_7, 3280.476, 3.776, -9.281
FS_17_168_9, 3281.674, 4.974, -8.083
FS_17_210_0, 3271.278, 0.0, -18.479
FS_17_210_3, 3272.852, 1.574, -16.905
FS_17_210_4, 3273.172, 1.894, -16.585
FS_17_210_5, 3274.075, 2.797, -15.682
FS_17_210_6, 3274.946, 3.668, -14.811
FS_17_210_7, 3275.205, 3.927, -14.552
FS_17_210_9, 3275.242, 3.964, -14.515
FS_17_h10_168_3, 3286.935, 10.235, -2.822
FS_17_h10_168_5, 3288.98, 12.28, -0.777
FS_17_h20_168_5, 3325.05, 48.35, 35.293
FS_17_h20_168_7, 3324.813, 48.112, 35.056
FS_18_126_0, 3276.164, 0.0, -4.904
FS_18_126_3, 3276.706, 0.542, -4.362
FS_18_126_4, 3276.951, 0.787, -4.117
FS_18_126_5, 3277.211, 1.047, -3.857
FS_18_126_6, 3277.421, 1.257, -3.647
FS_18_126_7, 3277.638, 1.474, -3.43
FS_18_126_9, 3278.419, 2.255, -2.65
FS_18_168_0, 3271.163, 0.0, -9.906
FS_18_168_3, 3274.07, 2.907, -6.998
FS_18_168_4, 3274.327, 3.164, -6.742
FS_18_168_5, 3274.881, 3.719, -6.187
FS_18_168_6, 3275.03, 3.867, -6.039
FS_18_168_7, 3275.07, 3.907, -5.999
FS_18_168_9, 3276.14, 4.977, -4.928
FS_18_210_0, 3264.962, 0.0, -16.106
FS_18_210_3, 3265.838, 0.876, -15.231
FS_18_210_4, 3267.453, 2.491, -13.616
FS_18_210_5, 3269.458, 4.496, -11.61
FS_18_210_6, 3269.909, 4.947, -11.159
FS_18_210_7, 3271.421, 6.459, -9.647
FS_18_210_9, 3273.175, 8.213, -7.893
FS_18_210_7, 3271.421, 6.459, -9.647
FS_18_210_9, 3273.175, 8.213, -7.893
FS_18_h20_168_3, 3296.734, 25.572, 15.666
FS_18_h20_168_5, 3297.7, 26.537, 16.632
FS_19_126_0, 2970.339, 0.0, -4.865
FS_19_126_3, 2970.999, 0.66, -4.205
FS_19_126_4, 2971.25, 0.911, -3.954
FS_19_126_5, 2971.324, 0.985, -3.88
FS_19_126_6, 2971.45, 1.111, -3.755
FS_19_126_7, 2971.634, 1.295, -3.57
FS_19_126_9, 2971.879, 1.54, -3.325
FS_19_168_0, 2965.679, 0.0, -9.525
FS_19_168_3, 2966.084, 0.405, -9.121
FS_19_168_4, 2967.714, 2.035, -7.49
FS_19_168_5, 2968.279, 2.6, -6.926
FS_19_168_6, 2968.44, 2.761, -6.765
FS_19_168_7, 2968.459, 2.78, -6.746
FS_19_168_9, 2969.321, 3.642, -5.883
FS_19_210_0, 2957.571, 0.0, -17.633
FS_19_210_3, 2958.438, 0.867, -16.766
FS_19_210_4, 2958.316, 0.745, -16.888
FS_19_210_5, 2958.548, 0.977, -16.656
FS_19_210_6, 2961.821, 4.249, -13.383
FS_19_210_7, 2964.067, 6.496, -11.137
FS_19_210_9, 2966.705, 9.134, -8.499
FS_19_h10_168_3, 2977.589, 11.91, 2.384
FS_19_h10_168_5, 2978.701, 13.022, 3.497
FS_19_h20_168_3, 3024.362, 58.683, 49.157
FS_19_h20_168_5, 3025.472, 59.793, 50.268
FS_19_h20_168_7, 3026.184, 60.505, 50.979
FS_20_126_0, 3602.618, 0.0, -8.693
FS_20_126_3, 3602.872, 0.254, -8.439
FS_20_126_4, 3603.059, 0.44, -8.253
FS_20_126_5, 3603.365, 0.747, -7.946
FS_20_126_6, 3603.678, 1.06, -7.634
FS_20_126_7, 3603.839, 1.221, -7.472
FS_20_126_9, 3604.167, 1.549, -7.144
FS_20_168_0, 3596.066, 0.0, -15.245
FS_20_168_3, 3596.322, 0.255, -14.99
FS_20_168_4, 3596.709, 0.643, -14.602
FS_20_168_5, 3596.72, 0.654, -14.592
FS_20_168_6, 3597.714, 1.648, -13.598
FS_20_168_7, 3597.639, 1.573, -13.672
FS_20_168_9, 3597.383, 1.317, -13.929
FS_20_210_0, 3589.356, 0.0, -21.955
FS_20_210_3, 3586.791, -2.565, -24.52
FS_20_210_4, 3587.018, -2.338, -24.294
FS_20_210_5, 3588.353, -1.003, -22.959
FS_20_210_6, 3589.623, 0.267, -21.688
FS_20_210_7, 3589.549, 0.193, -21.762
FS_20_210_9, 3589.994, 0.638, -21.317
FS_20_h20_168_3, 3614.464, 18.398, 3.152
FS_20_h20_168_5, 3616.607, 20.541, 5.296
FS_20_h20_168_7, 3617.514, 21.448, 6.202
